,soc
865,7.37
866,7.36
867,7.35
868,7.34
869,7.34
870,7.33
871,7.32
872,7.32
873,7.31
874,7.31
875,7.31
876,7.3
877,7.29
878,7.28
879,7.28
880,7.27
881,7.27
882,7.27
883,7.27
884,7.25
885,7.24
886,7.24
887,7.24
888,7.24
889,7.23
890,7.23
891,7.22
892,7.22
893,7.22
894,7.22
895,7.21
896,7.21
897,7.21
898,7.2
899,7.2
900,7.2
901,7.19
902,7.19
903,7.19
904,7.18
905,7.18
906,7.17
907,7.16
908,7.16
909,7.16
910,7.15
911,7.15
912,7.14
913,7.14
914,7.13
915,7.13
916,7.13
917,7.12
918,7.12
919,7.12
920,7.12
921,7.12
922,7.11
923,7.11
924,7.11
925,7.11
926,7.1
927,7.1
928,7.1
929,7.09
930,7.09
931,7.09
932,7.08
933,7.08
934,7.07
935,7.05
936,7.05
937,7.04
938,7.04
939,7.04
940,7.03
941,7.03
942,7.02
943,7.02
944,7.01
945,7.01
946,7.01
947,7.01
948,7
949,7
950,7
951,7
952,6.99
953,6.99
954,6.99
955,6.99
956,6.99
957,6.98
958,6.97
959,6.96
960,6.96
961,6.96
962,6.96
963,6.96
964,6.95
965,6.94
966,6.94
967,6.93
968,6.93
969,6.93
970,6.91
971,6.91
972,6.9
973,6.9
974,6.9
975,6.9
976,6.89
977,6.89
978,6.89
979,6.89
980,6.89
981,6.88
982,6.86
983,6.86
984,6.86
985,6.86
986,6.85
987,6.85
988,6.84
989,6.84
990,6.84
991,6.83
992,6.83
993,6.83
994,6.82
995,6.82
996,6.82
997,6.81
998,6.81
999,6.8
1000,6.8
1001,6.79
1002,6.79
1003,6.79
1004,6.78
1005,6.78
1006,6.77
1007,6.76
1008,6.75
1009,6.75
1010,6.75
1011,6.74
1012,6.73
1013,6.73
1014,6.73
1015,6.73
1016,6.72
1017,6.72
1018,6.72
1019,6.71
1020,6.71
1021,6.71
1022,6.71
1023,6.71
1024,6.7
1025,6.7
1026,6.69
1027,6.69
1028,6.69
1029,6.69
1030,6.69
1031,6.68
1032,6.68
1033,6.67
1034,6.67
1035,6.67
1036,6.66
1037,6.66
1038,6.65
1039,6.65
1040,6.65
1041,6.64
1042,6.64
1043,6.64
1044,6.64
1045,6.63
1046,6.63
1047,6.63
1048,6.62
1049,6.62
1050,6.62
1051,6.62
1052,6.61
1053,6.6
1054,6.6
1055,6.59
1056,6.59
1057,6.59
1058,6.59
1059,6.59
1060,6.59
1061,6.58
1062,6.58
1063,6.57
1064,6.56
1065,6.56
1066,6.56
1067,6.55
1068,6.55
1069,6.55
1070,6.55
1071,6.55
1072,6.55
1073,6.54
1074,6.54
1075,6.54
1076,6.53
1077,6.52
1078,6.52
1079,6.51
1080,6.51
1081,6.51
1082,6.5
1083,6.5
1084,6.5
1085,6.5
1086,6.5
1087,6.49
1088,6.49
1089,6.49
1090,6.49
1091,6.49
1092,6.48
1093,6.48
1094,6.48
1095,6.47
1096,6.47
1097,6.46
1098,6.46
1099,6.46
1100,6.46
1101,6.46
1102,6.45
1103,6.44
1104,6.44
1105,6.43
1106,6.43
1107,6.43
1108,6.43
1109,6.43
1110,6.43
1111,6.42
1112,6.41
1113,6.41
1114,6.41
1115,6.41
1116,6.41
1117,6.4
1118,6.4
1119,6.4
1120,6.4
1121,6.4
1122,6.4
1123,6.4
1124,6.4
1125,6.39
1126,6.39
1127,6.39
1128,6.39
1129,6.38
1130,6.38
1131,6.38
1132,6.38
1133,6.37
1134,6.37
1135,6.36
1136,6.36
1137,6.36
1138,6.35
1139,6.34
1140,6.34
1141,6.34
1142,6.34
1143,6.34
1144,6.32
1145,6.32
1146,6.32
1147,6.32
1148,6.32
1149,6.31
1150,6.31
1151,6.3
1152,6.3
1153,6.3
1154,6.3
1155,6.3
1156,6.28
1157,6.28
1158,6.27
1159,6.27
1160,6.27
1161,6.26
1162,6.26
1163,6.26
1164,6.25
1165,6.25
1166,6.24
1167,6.24
1168,6.24
1169,6.24
1170,6.23
1171,6.23
1172,6.23
1173,6.22
1174,6.22
1175,6.22
1176,6.22
1177,6.21
1178,6.19
1179,6.19
1180,6.19
1181,6.18
1182,6.18
1183,6.18
1184,6.17
1185,6.16
1186,6.16
1187,6.16
1188,6.15
1189,6.15
1190,6.13
1191,6.13
1192,6.13
1193,6.12
1194,6.12
1195,6.12
1196,6.11
1197,6.11
1198,6.11
1199,6.11
1200,6.1
1201,6.1
1202,6.1
1203,6.09
1204,6.09
1205,6.09
1206,6.09
1207,6.09
1208,6.08
1209,6.08
